,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
78,Deen Dayal Upadhyaya College,BA,BA, New Delhi, Delhi NCR,4,69,255,2025,"₹ 96,465","6,55,000","24,80,000",UGC 
79,Sri Aurobindo College,BA,BA, New Delhi, Delhi NCR,3.7,70,255,2025,"₹ 39,210","3,00,000","8,00,000",UGC 
80,Rajdhani College,BA,BA {Hons.} Economics, New Delhi, Delhi NCR,3.8,71,255,2025,"₹ 46,400","1,45,000","1,74,00,000","UGC, MHRD "
81,Satyawati College,BA,BA {Hons.} Political Science, New Delhi, Delhi NCR,3.7,73,255,2025,"₹ 48,035",,"25,00,000",UGC 
82,Department of Germanic and Romance Studies,BA,BA {Hons.} French, New Delhi, Delhi NCR,3.7,74,255,2025,"₹ 8,706",,,
83,Goswami Ganesh Dutta Sanatan Dharma College,BA,BA, Chandigarh, Chandigarh,4.1,75,255,2025,"₹ 72,900",,,
84,D.G. Ruparel College of Arts Science and Commerce,BA,BA Psychology, Mumbai, Maharashtra,3.9,76,255,2025,"₹ 18,030",,,
85,Shyam Lal College,BA,BA {Hons.} Economics, New Delhi, Delhi NCR,3.7,77,255,2025,"₹ 85,500","4,20,288","7,50,000",UGC 
86,Isabella Thoburn Degree College,BA,B.Lib.I.Sc, Lucknow, Uttar Pradesh,3.8,78,255,2025,"₹ 25,000","3,50,000","8,00,000","AICTE, UGC "
87,Janki Devi Memorial College,BA,BA, New Delhi, Delhi NCR,4,79,255,2025,"₹ 70,665",,"11,00,000",AICTE 
88,DAV College,BA,BA {Hons.} Psychology, Chandigarh, Chandigarh,4,80,255,2025,"₹ 60,631",,"21,00,000",UGC 
89,Kalindi College,BA,BA {Hons.} Political Science, New Delhi, Delhi NCR,3.7,81,255,2025,"₹ 41,375","10,00,000","24,00,000","AICTE, UGC "
90,SS Jain Subodh PG College,BA,BA, Jaipur, Rajasthan,3.6,82,255,2025,"₹ 69,200",,,
91,Shaheed Bhagat Singh Evening College,BA,BA {Hons.} Political Science, New Delhi, Delhi NCR,3.9,83,255,2025,"₹ 44,925",,,
92,Symbiosis College of Arts and Commerce,BA,BA Psychology, Pune, Maharashtra,4.2,84,255,2025,"₹ 1,41,200","5,24,232","23,05,500",
93,Satyawati Evening College,BA,BA, New Delhi, Delhi NCR,3.7,85,255,2025,"₹ 48,035","4,00,000","12,00,000",
